Id,Species,Owner,Country.of.Origin,Farm.Name,Lot.Number,Mill,ICO.Number,Company,Altitude,Region,Producer,Number.of.Bags,Bag.Weight,In.Country.Partner,Harvest.Year,Grading.Date,Owner.1,Variety,Processing.Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean.Cup,Sweetness,Cupper.Points,Total.Cup.Points,Moisture,Category.One.Defects,Quakers,Color,Category.Two.Defects,Expiration,Certification.Body,Certification.Address,Certification.Contact,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
1384,Arabica,kona pacific farmers cooperative,United States (Hawaii),,,,220453,kona pacific farmers cooperative,,kona,,8,100 lbs,Specialty Coffee Association,2012,"April 6th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.92,7.92,7.75,7.92,7.75,7.92,10,10,10,8.25,85.42,0,4,0,,6,"April 6th, 2013",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,NA,NA,NA
1385,Arabica,nucoffee,Brazil,fazenda serra de três barras,,,002/1251/0072,nucoffee,1250m,south of minas,José Vagner Ribeiro Junqueira,5,60 kg,NUCOFFEE,2011,"December 3rd, 2011",NUCOFFEE,Bourbon,Semi-washed / Semi-pulped,8,8,8,7.67,7.75,8,10,10,10,8,85.42,0.11,0,0,Blue-Green,1,"December 2nd, 2012",NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,1250,1250,1250
1386,Arabica,grounds for health admin,El Salvador,sierra nevada,,beneficio las tres puertas,9-060-60D-L-1D,,1400 m,apaneca,J. Hill y Cia SA de CV,2,"1 kg,lbs",Specialty Coffee Association,2009 / 2010,"May 31st, 2010",Grounds for Health Admin,,,8.08,7.83,7.83,8.08,7.83,7.83,10,10,10,7.92,85.42,0.01,0,0,,0,"May 31st, 2011",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1400,1400,1400
1387,Arabica,yunnan coffee exchange,China,pu'er city longke coffee co.ltd,YNC-16115,pu'er city longke coffee co.ltd,,yunnan coffee exchange,1700,yunnan,Pu'er City Longke Coffee Co.Ltd,3,60 kg,Yunnan Coffee Exchange,2015,"April 6th, 2016",Yunnan Coffee Exchange,Catimor,Natural / Dry,8,8,8,7.83,7.83,7.75,10,10,10,7.92,85.33,0.1,0,0,Green,0,"April 6th, 2017",Yunnan Coffee Exchange,683fa6014608fc10ff681b0435b0b2dbe6df988f,f6d87a6c04653c569d4911a66f89d5e30ce83b93,m,1700,1700,1700
1388,Arabica,essencecoffee,Guatemala,el injerto s.a.,,el injerto s.a.,11999144,essence coffee,1770,huehuetenango,Arturo Aguirre,36,30 kg,Blossom Valley International,2014,"May 23rd, 2015",EssenceCoffee,Pacamara,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83,85.33,0.11,0,0,Green,1,"May 22nd, 2016",Blossom Valley International,fc45352eee499d8470cf94c9827922fb745bf815,de73fc9412358b523d3a641501e542f31d2668b0,m,1770,1770,1770
1389,Arabica,the coffee source inc.,Costa Rica,several,,cafe altura de san ramon,5-562-0006,the coffee source inc.,1300,west valley,Cafe Altura de San Ramon,250,3 lbs,Specialty Coffee Association,2014,"May 1st, 2014",The Coffee Source Inc.,Caturra,Washed / Wet,7.92,8.08,8,7.92,8,8.08,10,10,9.33,8,85.33,0,0,0,Bluish-Green,0,"May 1st, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1300,1300,1300
1390,Arabica,the coffee source inc.,Costa Rica,several,,cafe altura de san ramon,5-562-0016,the coffee source inc.,1300 msnm,san ramon,SEVERAL,250,3 lbs,Specialty Coffee Association,2014,"May 1st, 2014",The Coffee Source Inc.,Caturra,Washed / Wet,8,7.58,7.58,7.67,8.08,8.5,10,10,10,7.92,85.33,0.1,0,0,Bluish-Green,2,"May 1st, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1300,1300,1300
1391,Arabica,rashid moledina & co. (msa) ltd.,Kenya,,,,37/672/0017,rashid moledina & co. (msa) ltd,above 1600 m,central kenya,Kianjogu - Rutuma F.C.S. Ltd.,20,60 kg,Kenya Coffee Traders Association,2012,"April 19th, 2013",RASHID MOLEDINA & CO. (MSA) LTD.,SL34,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,10,10,10,7.92,85.33,0,0,0,Green,2,"April 19th, 2014",Kenya Coffee Traders Association,ccba45b89d859740b749878be8c6d16fbdb96c2e,d752c909a015f3c76224b3c5cc520f8a67afda74,m,1600,1600,1600
1392,Arabica,ibero kenya limited,Kenya,,,nkg/ck/hc/ss/kccm,37/00597/0252 - AB FAQ Q certified,ibero kenya limited,above 1200 m,central kenya,Blend from various Producers,300,60 kg,Kenya Coffee Traders Association,2012,"March 12th, 2013",Ibero Kenya Limited,SL34,Washed / Wet,8,7.92,7.92,8.08,7.83,7.75,10,10,10,7.83,85.33,0,0,0,Green,6,"March 12th, 2014",Kenya Coffee Traders Association,ccba45b89d859740b749878be8c6d16fbdb96c2e,d752c909a015f3c76224b3c5cc520f8a67afda74,m,1200,1200,1200
1393,Arabica,ethiopia commodity exchange,Ethiopia,phone number | 0911-513824 email: gmt.ft,,,010/0157,,,yirgacheffe,"Contact name | Egziabhez Mezgebe, GMT Industrial Plc",360,6 kg,Ethiopia Commodity Exchange,2009/2010,"June 17th, 2010",Ethiopia Commodity Exchange,,,7.83,7.83,7.92,8.08,7.75,7.83,10,10,10,8.08,85.33,0.05,0,0,,2,"June 17th, 2011",Ethiopia Commodity Exchange,a176532400aebdc345cf3d870f84ed3ecab6249e,61bbaf6a9f341e5782b8e7bd3ebf76aac89fe24b,m,NA,NA,NA
1394,Arabica,ethiopia commodity exchange,Ethiopia,,,,010/0001/0022,,,yirgacheffe,Contact name | Hailu Gebre Hiwot,300,6,Ethiopia Commodity Exchange,2009/2010,"June 17th, 2010",Ethiopia Commodity Exchange,Typica,,7.92,7.83,7.75,8.33,7.75,7.75,10,10,10,8,85.33,0.1,0,0,,3,"June 17th, 2011",Ethiopia Commodity Exchange,a176532400aebdc345cf3d870f84ed3ecab6249e,61bbaf6a9f341e5782b8e7bd3ebf76aac89fe24b,m,NA,NA,NA
1395,Arabica,juan luis alvarado romero,Guatemala,la esperanza y anexos,11/23/0177,beneficio ixchel,11/23/0177,"unex guatemala, s.a.",,oriente,MARGARITA AVILA DE NUYENS,250,69 kg,Asociacion Nacional Del Café,2016,"April 27th, 2016",Juan Luis Alvarado Romero,Bourbon,,8,7.92,7.75,8,7.92,7.83,10,10,10,7.83,85.25,0.1,0,2,Green,2,"April 27th, 2017",Asociacion Nacional Del Café,b1f20fe3a819fd6b2ee0eb8fdc3da256604f1e53,724f04ad10ed31dbb9d260f0dfd221ba48be8a95,m,NA,NA,NA
1396,Arabica,exportadora de cafe condor s.a,Colombia,various,,trilladora agricola,3-68-0102,exportadora de cafe condor s.a,1550 msnm,santander,varios,275,70 kg,Almacafé,2015,"April 8th, 2015",Exportadora de Cafe Condor S.A,Caturra,Washed / Wet,8.17,7.92,7.83,8,7.58,7.83,10,10,10,7.92,85.25,0.11,0,0,Green,0,"April 7th, 2016",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1550,1550,1550
1397,Arabica,compañia colombiana agroindustrial s.a,Colombia,,,trilladora boananza,3-79-0634,ecom cca sa,1550,santander,,250,70 kg,Almacafé,2014,"January 17th, 2014",Compañia Colombiana Agroindustrial S.A,Caturra,Natural / Dry,7.58,8.08,7.92,7.83,8,7.92,10,10,10,7.92,85.25,0.12,0,0,Green,2,"January 17th, 2015",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1550,1550,1550
1398,Arabica,"nomura trading co., ltd.",Indonesia,,,,,"nomura trading co., ltd.",1250-1400 meter,lintong,,54,60 kg,Specialty Coffee Association,2012,"November 26th, 2012","Nomura Trading Co., Ltd.",Sumatra Lintong,Semi-washed / Semi-pulped,7.75,7.83,7.67,8,8.08,7.83,10,10,10,8,85.17,0.11,0,0,Green,3,"November 26th, 2013",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1250,1400,1325
1399,Arabica,the coffee source inc.,Guatemala,coop. hoja blanca - fedecocagua,,coop. hoja blanca - fedecocagua,11-30-0593,the coffee source inc.,1400 msm,huehuetenango,Coop. Hoja Blanca - Fedecocagua,250,1 kg,Specialty Coffee Association,2012,"January 18th, 2012",The Coffee Source Inc.,Caturra,Washed / Wet,8.25,8,7.67,7.92,7.75,7.67,10,10,10,7.92,85.17,0,0,0,,7,"January 17th, 2013",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1400,1400,1400
1400,Arabica,seid damtew coffee planataion,Ethiopia,seid damtew coffee planation,,at site and addis ababa,495,seid damtew coffee planation,,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",SEID DAMTEW COFFEE PLANATION,320,19200 kg,METAD Agricultural Development plc,2016,"August 9th, 2016",SEID DAMTEW COFFEE PLANATAION,Other,Natural / Dry,7.75,8,7.58,8,8,7.92,10,10,10,7.83,85.08,0.11,0,1,Green,8,"August 9th, 2017",METAD Agricultural Development plc,309fcf77415a3661ae83e027f7e5f05dad786e44,19fef5a731de2db57d16da10287413f5f99bc2dd,m,NA,NA,NA
1401,Arabica,carcafe ltda ci,Colombia,,,pasto,3-59-3115,carcafe ltda,2.560 msnm,pasto,JOSE ALBEIRO GOMEZ / LUIS JABER REALPE,250,70 kg,Almacafé,2015,"August 18th, 2015",CARCAFE LTDA CI,Caturra,Natural / Dry,8.17,7.83,7.58,8.08,8,7.75,10,10,10,7.67,85.08,0,0,0,,0,"August 17th, 2016",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,2560,2560,2560
1402,Arabica,steven kil,Ethiopia,aricha coop,,aricha coop,,the specialty coffee appraisers institute of asia,1700,aricha,BNT,100,60 kg,Specialty Coffee Association,2014,"October 7th, 2014",Steven Kil,,Natural / Dry,8.42,8,7.42,8,7.92,7.92,9.33,10,10,8.08,85.08,0.1,2,0,Green,7,"October 7th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1700,1700,1700
1403,Arabica,eileen koyanagi,United States (Hawaii),,,,KP 022014,kona pacific farmers cooperative,,kona,,12,100 lbs,Specialty Coffee Association,2014,"March 10th, 2014",Eileen Koyanagi,Hawaiian Kona,Natural / Dry,7.58,7.83,7.83,7.92,7.83,8.17,10,10,10,7.92,85.08,0.11,2,0,Bluish-Green,2,"March 10th, 2015",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,NA,NA,NA
1404,Arabica,carcafe ltda ci,Colombia,,,,3-59-0951,carcafe ltda,2136 msnm,cundinamarca,ORLANDO ORTIZ /WILSON ORTIZ/GILBERTO ACOSTA,250,70 kg,Almacafé,2012,"March 16th, 2012",CARCAFE LTDA CI,Caturra,Natural / Dry,7.83,8,7.75,7.75,7.83,7.83,10,10,10,8.08,85.08,0.11,0,0,Green,8,"March 16th, 2013",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,2136,2136,2136
1405,Arabica,kona pacific farmers cooperative,United States (Hawaii),,,,,,,kona,Kona Pacific Farmers Cooperative,13,100 lbs,Specialty Coffee Association,2010-2011,"December 27th, 2010",Kona Pacific Farmers Cooperative,,,8.08,8.17,7.92,8,8.08,8,9.33,9.33,10,8.17,85.08,0.01,1,0,,7,"December 27th, 2011",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,NA,NA,NA
1406,Arabica,ethiopia commodity exchange,Ethiopia,,,,010/0058/Sidamo,,,sidamo,Exporter Name | Muluneh Kaka | Phone: 0114390290,360,6,Ethiopia Commodity Exchange,2010,"June 17th, 2010",Ethiopia Commodity Exchange,,,7.67,8,7.83,8,7.92,7.83,10,10,10,7.83,85.08,0,0,0,,5,"June 17th, 2011",Ethiopia Commodity Exchange,a176532400aebdc345cf3d870f84ed3ecab6249e,61bbaf6a9f341e5782b8e7bd3ebf76aac89fe24b,m,NA,NA,NA
1407,Arabica,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,,kona pacific farmers cooperative,HDOA 210310,,,kona,,27,0 lbs,Specialty Coffee Association,,"May 17th, 2010",Kona Pacific Farmers Cooperative,,,7.5,7.92,8.25,7.83,7.92,7.75,10,10,10,7.92,85.08,0,0,0,,0,"May 17th, 2011",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,NA,NA,NA
1408,Arabica,kyagalanyi coffee ltd,Uganda,mount elgon area,6133,kyagalanyi coffee ltd,,kyagalanyi coffee ltd,1800,eastern uganda,Kyagalanyi Coffee Ltd,200,60 kg,Uganda Coffee Development Authority,2016,"July 24th, 2017",Kyagalanyi Coffee Ltd,SL14,Washed / Wet,8.17,7.92,7.75,7.75,7.67,7.75,10,10,10,8,85,0.11,0,0,Green,1,"July 24th, 2018",Uganda Coffee Development Authority,188fe373b511e21f614564bf86aa4774270d8e04,b7614767a5343729bbde3a2777c60ce836aed928,m,1800,1800,1800
1409,Arabica,racafe & cia s.c.a,Colombia,,3-37-1829,bachue,3-37-1829,racafe & cia s.c.a,,huila,La Plata,135,70 kg,Almacafé,2016,"February 15th, 2017",Racafe & Cia S.C.A,Caturra,Washed / Wet,8,7.92,7.75,7.92,7.75,7.83,10,10,10,7.83,85,0,0,0,Green,3,"February 15th, 2018",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,NA,NA,NA
1410,Arabica,troy quimby,Costa Rica,estate la patricia,LP-C211-180,micro beneficio la cabaña-javier meza,,bold coast coffee,1900,tarrazu,Manuel Montero,36,46 kg,Specialty Coffee Association,2016,"January 30th, 2017",Troy Quimby,Catuai,Washed / Wet,7.83,8,7.58,7.92,7.92,7.83,10,10,10,7.92,85,0.12,1,1,Green,1,"January 30th, 2018",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1900,1900,1900
1411,Arabica,"el equimite, cafetal biodinámico",Mexico,various,Mezcla Veracruz 01,"cafetal el equimite, rancho agroecológico",,"cafetal el equimite, rancho agroecológico, s.p.r. de r.l.",1300,veracruz,Varios productores minifundistas,1,30 kg,Centro Agroecológico del Café A.C.,2015,"September 21st, 2016","El Equimite, Cafetal Biodinámico",Typica,Washed / Wet,7.83,8,7.83,7.75,7.67,7.83,10,10,10,8.08,85,0.09,0,0,Green,3,"September 21st, 2017",Centro Agroecológico del Café A.C.,3b8dfdd621590b424ff64e0b76df7d6a92e1c628,d470dc009281519e30da6ead1c649fcd7670f386,m,1300,1300,1300
1412,Arabica,simon mahinda,Kenya,,CN 11462 AA,ckcm,,c dorman ltd,-1,,,170,60 kg,Kenya Coffee Traders Association,2015,"May 7th, 2016",SIMON MAHINDA,,Washed / Wet,8.17,7.83,7.92,7.75,7.67,7.83,10,10,10,7.83,85,0.11,0,5,Green,7,"May 7th, 2017",Kenya Coffee Traders Association,ccba45b89d859740b749878be8c6d16fbdb96c2e,d752c909a015f3c76224b3c5cc520f8a67afda74,m,1,1,1
1413,Arabica,rashid moledina & co. (msa) ltd.,Kenya,machure estate,,,37/672/0016,rashid moledina & co. (msa) ltd,1580,central kenya,,38,60 kg,Kenya Coffee Traders Association,2012,"April 19th, 2013",RASHID MOLEDINA & CO. (MSA) LTD.,SL34,Washed / Wet,7.75,7.83,7.75,8.08,8,7.75,10,10,10,7.83,85,0,0,0,Green,5,"April 19th, 2014",Kenya Coffee Traders Association,ccba45b89d859740b749878be8c6d16fbdb96c2e,d752c909a015f3c76224b3c5cc520f8a67afda74,m,1580,1580,1580
1414,Arabica,nucoffee,Brazil,sitío são geraldo,,,002/1251/0242,nucoffee,1100m,grama valley,Idalina M. De Andrade Ferreira,31,60 kg,NUCOFFEE,2012,"February 29th, 2012",NUCOFFEE,Mundo Novo,Natural / Dry,8,8,7.83,7.83,7.67,7.67,10,10,10,8,85,0.12,0,0,Green,3,"February 28th, 2013",NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,1100,1100,1100
1415,Arabica,young kim,Mexico,kassandra,,,016-2484-04,,1400 masl,mexico,Finca Kassandra,1,1 kg,Specialty Coffee Association,2010-2011,"April 6th, 2011",Young Kim,Pacamara,,7.92,8.17,7.75,8.08,7.42,7.83,10,10,10,7.83,85,0,0,0,,0,"April 5th, 2012",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,1400,1400,1400
1416,Arabica,kona pacific farmers cooperative,United States (Hawaii),kona pacific farmers cooperative,,,HDOA#210306,,,kona,,15,100 lbs,Specialty Coffee Association,,"February 24th, 2011",Kona Pacific Farmers Cooperative,,,7.75,7.92,7.75,7.75,8,8,10,10,10,7.83,85,0,0,0,,1,"February 24th, 2012",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,NA,NA,NA
1417,Arabica,carl walker,Guatemala,la igualdad,,concepcion,11-194-0014,,3500-5200 feet,"chuva, san marcos",Federico Weller,275,69 kg,Specialty Coffee Association,2009/2010,"September 7th, 2010",Carl Walker,,,7.83,8.08,7.67,8,7.75,7.67,10,10,10,8,85,0.04,0,0,,1,"September 7th, 2011",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,1066.8,1584.96,1325.88
1418,Arabica,racafe & cia s.c.a,Colombia,,3-37-0277,bachue,3-37-0277,racafe & cia s.c.a,,huila,La Plata,243,70 kg,Almacafé,2016,"November 25th, 2016",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.92,7.92,7.67,7.83,7.92,7.83,10,10,10,7.83,84.92,0,1,6,,2,"November 25th, 2017",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,NA,NA,NA
1419,Arabica,racafe & cia s.c.a,Colombia,,,,3-37-4824,racafe & cia s.c.a,de 1600 a 1950 msnm,huila,La Plata,252,70 kg,Almacafé,2015,"October 26th, 2015",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.92,7.83,7.75,7.83,7.75,8,10,10,10,7.83,84.92,0.12,0,0,Green,1,"October 25th, 2016",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1950,1775
1420,Arabica,"lin, che-hao krude 林哲豪",Taiwan,baishengcun coffee 百勝村咖啡莊園,,baishengcun coffee 百勝村咖啡莊園,Taiwan,taiwan coffee laboratory,800 m,natou county,SU CHUEN SHIAN 蘇春賢,20,40 kg,Specialty Coffee Association,2015,"June 9th, 2015","Lin, Che-Hao Krude 林哲豪",Typica,Semi-washed / Semi-pulped,7.67,7.83,8,7.58,8,7.92,10,10,10,7.92,84.92,0.11,0,0,Green,0,"June 8th, 2016",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,800,800,800
1421,Arabica,taylor winch (t) ltd,"Tanzania, United Republic Of",hasambo amcos,,taylor winch (t) ltd,C47,taylor winch (t) ltd,1620m,mbeya,Hasambo AMCOS,134,60 kg,Africa Fine Coffee Association,2014,"December 12th, 2014",Taylor Winch (T) Ltd,Other,Washed / Wet,8,7.83,7.83,7.92,7.75,7.75,10,10,10,7.83,84.92,0.12,0,0,Green,2,"December 12th, 2015",Africa Fine Coffee Association,073285c0d45e2f5539012d969937e529564fa6fe,c4ab13415cdd69376a93780c0166e7b1a10481ea,m,1620,1620,1620
1422,Arabica,racafe & cia s.c.a,Colombia,,,,3-37-0416,racafe & cia s.c.a,de 1600 a 1950 msnm,huila,LA PLATA,50,70 kg,Almacafé,2012,"December 11th, 2012",Racafe & Cia S.C.A,Caturra,Washed / Wet,7.75,7.92,7.83,7.75,7.75,8,10,10,10,7.92,84.92,0.11,0,0,Green,3,"December 11th, 2013",Almacafé,e493c36c2d076bf273064f7ac23ad562af257a25,70d3c0c26f89e00fdae6fb39ff54f0d2eb1c38ab,m,1600,1950,1775
1423,Arabica,artemio zapata tejeda,Mexico,el suspiro,,pacho viejo,1104385872,,1200,coatepec,ARTEMIO ZAPATA TEJEDA,25,1 kg,AMECAFE,2012,"July 11th, 2012",ARTEMIO ZAPATA TEJEDA,Typica,Semi-washed / Semi-pulped,7.75,8,7.75,7.83,7.5,7.92,10,10,10,8.17,84.92,0.11,0,0,,0,"July 11th, 2013",AMECAFE,59e396ad6e22a1c22b248f958e1da2bd8af85272,0eb4ee5b3f47b20b049548a2fd1e7d4a2b70d0a7,m,1200,1200,1200
1424,Arabica,nucoffee,Brazil,fazenda grota funda,,,002/1251/0070,nucoffee,1200m,south of minas,Glaucio Carneiro Pinto,4,60 kg,NUCOFFEE,2011,"December 23rd, 2011",NUCOFFEE,Bourbon,Natural / Dry,8,7.92,7.75,7.75,8,7.75,10,10,10,7.75,84.92,0.11,0,0,Green,2,"December 22nd, 2012",NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,1200,1200,1200
1425,Arabica,nucoffee,Brazil,sitio claro,,,002/1251/0066,nucoffee,1000 m,south of minas,Ricardo Luiz Ferreira,10,60 kg,NUCOFFEE,2011,"December 3rd, 2011",NUCOFFEE,Catuai,Natural / Dry,8,8,7.75,8,7.5,7.75,10,10,10,7.92,84.92,0.12,0,0,Green,2,"December 2nd, 2012",NUCOFFEE,567f200bcc17a90070cb952647bf88141ad9c80c,aa2ff513ffb9c844462a1fb07c599bce7f3bb53d,m,1000,1000,1000
1426,Arabica,brian speckman,Kenya,,,,37/00395/0335,,,,,320,60 kg,Specialty Coffee Association,2009-2010,"August 26th, 2010",Brian Speckman,,,8,7.67,7.83,8.17,7.92,7.75,10,10,10,7.58,84.92,0.06,1,0,,9,"August 26th, 2011",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,NA,NA,NA
1427,Arabica,"lin, che-hao krude 林哲豪",Taiwan,shi fang yuan 十方源,2016 Tainan Coffee Cupping Event Micro Lot 臺南市咖啡評鑑批次,shi fang yuan 十方源,Taiwan,taiwan coffee laboratory,350,"dongshan dist., tainan city 臺南市東山區",Wang Chao Yung 王超永,10,20 kg,Specialty Coffee Association,2016,"May 18th, 2016","Lin, Che-Hao Krude 林哲豪",Typica,Natural / Dry,7.92,7.58,7.83,7.83,7.83,7.83,10,10,10,8,84.83,0,0,0,Green,0,"May 18th, 2017",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,m,350,350,350
1428,Arabica,kawacom uganda ltd,Uganda,mt.elgon bugisu shamba 2,,kawacom,0,kawacom uganda ltd,1400-1900,eastern,Sipi organic coffee project,1,60 kg,Uganda Coffee Development Authority,2013,"June 30th, 2014",Kawacom Uganda LTD,SL14,Natural / Dry,7.75,7.92,7.67,7.67,8.25,7.75,10,10,10,7.83,84.83,0.12,0,0,Green,1,"June 30th, 2015",Uganda Coffee Development Authority,188fe373b511e21f614564bf86aa4774270d8e04,b7614767a5343729bbde3a2777c60ce836aed928,m,1400,1900,1650
1429,Arabica,kona pacific farmers cooperative,United States (Hawaii),,,,220457,kona pacific farmers cooperative,,kona,,14,100 lbs,Specialty Coffee Association,2012,"April 6th, 2012",Kona Pacific Farmers Cooperative,Hawaiian Kona,Natural / Dry,7.67,7.75,7.75,7.75,7.83,8,10,10,10,8.08,84.83,0,3,0,,15,"April 6th, 2013",Specialty Coffee Association,36d0d00a3724338ba7937c52a378d085f2172daa,0878a7d4b9d35ddbf0fe2ce69a2062cceb45a660,ft,NA,NA,NA
1430,Arabica,ethiopia commodity exchange,Ethiopia,contact | sidacoop@ethionet.net,,coffee processing and warehouse enterpri,010/0145,,1500-2000 m,sidamo,Sidama Coffee Farmers Coop. Union,300,6,Ethiopia Commodity Exchange,2009/2010,"June 17th, 2010",Ethiopia Commodity Exchange,,,7.75,7.92,7.83,7.92,7.75,7.67,10,10,10,8,84.83,0.1,0,0,,2,"June 17th, 2011",Ethiopia Commodity Exchange,a176532400aebdc345cf3d870f84ed3ecab6249e,61bbaf6a9f341e5782b8e7bd3ebf76aac89fe24b,m,1500,2000,1750
1431,Arabica,philip schluter,Ethiopia,contact | sidacoop@ethionet.net,,coffee processing and warehouse enterpri,010/0145,,1500-2000 m,sidamo,Sidama Coffee Farmers Coop. Union,300,6,Ethiopia Commodity Exchange,2009/2010,"June 17th, 2010",Philip Schluter,,,7.42,7.92,7.92,8,7.83,7.83,10,10,10,7.92,84.83,0.1,0,0,,4,"June 17th, 2011",Ethiopia Commodity Exchange,a176532400aebdc345cf3d870f84ed3ecab6249e,61bbaf6a9f341e5782b8e7bd3ebf76aac89fe24b,m,1500,2000,1750
1432,Arabica,松澤宏樹 koju matsuzawa,Thailand,matsuzawa coffee,MCTFHMG15/16,matsuzawa coffee,,matsuzawa coffee,,thailand,Matsuzawa Coffee,50,50 kg,Specialty Coffee Institute of Asia,2015,"June 27th, 2016",松澤宏樹 Koju Matsuzawa,Caturra,Pulped natural / honey,7.75,7.75,7.75,7.75,8,7.75,10,10,10,8,84.75,0.12,0,0,Green,0,"June 27th, 2017",Specialty Coffee Institute of Asia,726e4891cf2c9a4848768bd34b668124d12c4224,b70da261fcc84831e3e9620c30a8701540abc200,m,NA,NA,NA
1433,Arabica,lydiah mwangi,Kenya,karatina,,sagana,KE 9143,c dorman ltd,1800,nyeri,KARATINA,150,60 kg,Kenya Coffee Traders Association,2014,"June 2nd, 2015",Lydiah Mwangi,SL34,Washed / Wet,7.92,7.83,7.58,7.92,7.75,7.83,10,10,10,7.92,84.75,0.13,0,0,Green,0,"June 1st, 2016",Kenya Coffee Traders Association,ccba45b89d859740b749878be8c6d16fbdb96c2e,d752c909a015f3c76224b3c5cc520f8a67afda74,m,1800,1800,1800
1434,Arabica,cadexsa,Honduras,cerro bueno,,cadexsa,13-63-174,cadexsa,1450 msnm,marcala,Omar Acosta,275,1 kg,Instituto Hondureño del Café,2014,"April 25th, 2014",CADEXSA,Catuai,Washed / Wet,7.83,7.75,8,7.67,7.67,7.67,10,10,10,8.17,84.75,0.11,0,0,Green,4,"April 25th, 2015",Instituto Hondureño del Café,b4660a57e9f8cc613ae5b8f02bfce8634c763ab4,7f521ca403540f81ec99daec7da19c2788393880,m,1450,1450,1450
